ḥ ha حاء
ṣ sad صاد
ḍ dad ضاد
ṭ ta طاء
ẓ tha ظاء
‘ ayn عين
’ hamza همزة
ā long a ألف
á alif maqsoora ألف مقصورة
ū long u واو
ī long i ياء
ē long e ياء أعجمية
ō long o واو أعجمية
