Ç c cedilla capital
ç c cedilla small
Ğ g breve capital
ğ g breve small
Ì i grave capital
ì i grave small
İ i dotted capital
ı i dotless small
Ö o umlaut capital
ö o umlaut small
Ü u umlaut capital
ü u umlaut small
Ş s cedilla capital
ş s cedilla small
