Á a acute capital
á a acute small
É e acute capital
é e acute small
Í i acute capital
í i acute small
Ó o acute capital
ó o acute small
Ú u acute capital
ú u acute small
ü u diaeresis
à a grave
ç c cedilla
ã a tilde
õ o tilde
ô o circumflex
ê e circumflex
â a circumflex
º numero
ª numera
ção cao complex
ções coes complex
