Ñ ene capital
ñ ene small
Á a acute capital
á a acute small
É e acute capital
é e acute small
Í i acute capital
í i acute small
Ó o acute capital
ó o acute small
Ú u acute capital
ú u acute small
ü u diaeresis
₧ peseta
₡ colon
₲ guarani
¢ centavo
℆ cada una
º numero
ª numera
¿ inverted question mark
¡ inverted bang mark
