Ä a diaeresis capital
ä a diaeresis small
Ö o diaeresis capital
ö o diaeresis small
Ü u diaeresis capital
ü u diaeresis small
Ï i diaeresis capital
ï i diaeresis small
Ë e diaeresis capital
ë e diaeresis small
Æ ash capital
æ ash small
Œ ethel capital
œ ethel small
Þ thorn capital
þ thorn small
Ð eth capital
ð eth small
Ƿ wynn capital
ƿ wynn small
ſ long s
ꝛ rotunda
ﬆ st ligature
ﬃ ffi ligature
ﬄ ffl ligature
